Join_Count,TARGET_FID,ZONING,GPIN_ini,MZONE_ini,MLUSE_ini,MCLASS_ini,MTOTPR_ini,MTUTIL_ini,MBASA_ini,MTOTA_ini,MASSLU_ini,MAP_PIN_fnl,GPIN_fnl,Zoning_fnl,MZONE_fnl,MLUSE_fnl,MCLASS_fnl,MTOTPR_fnl,MTUTIL_fnl,MBASA_fnl,MTOTA_fnl,MASSLU_fnl,Area_acre,Change
2,2635,A-1,6702-34-8901,,2,,46700,0,0,0,0,23-14D,6702-34-7703,A-10,,2,C,257100,11000,1526,1626,0,5.80314,No
2,2643,A-1,6702-55-1026,,2,,64900,0,0,0,0,23-16G,6702-55-2066,A-10,,2,C,272700,11000,1948,1948,0,6.32944,No
3,2644,A-1,6702-93-2875,,5,C,879800,16000,1400,1400,154400,23-17,6702-84-1776,A-10,,5,,320000,0,0,0,34800,164.635,No
2,2733,A-1,6713-24-1917,,5,,208400,0,0,0,16050,23-35,6713-24-1886,A-10,,5,B,617200,11000,2997,3341.5,72400,16.9221,No
4,2739,A-1,6712-08-4352,,6,B,703100,8000,1159,1918,92600,23-42A,6712-07-7530,A-10,,2,B,500800,11000,1159,2062,97350,96.9773,Yes
3,2852,A-1,6712-72-5329,,5,,155200,0,0,0,0,24-14,6712-72-5329,A-10,,2,,127500,0,0,0,0,24.2754,Yes
2,2866,A-1,6712-92-2562,,2,,60000,0,0,0,0,24-19,6712-92-2191,A-10,,2,,60000,0,0,0,0,17.6779,No
2,2925,A-1,6722-26-1342,,6,,3228200,0,0,0,242100,24-44,6722-26-1342,A-10,,6,,3228200,0,0,0,242100,539.207,No
3,2929,A-1,6722-12-7908,,5,,172200,0,0,0,0,24-45,6712-92-9787,A-10,,2,,109000,0,0,0,0,39.2759,Yes
2,2985,A-1,6732-76-0801,,72,,1240000,0,0,0,0,25-15,6732-76-0801,A-10,,72,,1240000,0,0,0,0,342.318,No
4,3028,A-1,6733-06-8187,,2,,30000,0,0,0,0,25-2B,6733-06-9583,A-10,,2,,35000,0,0,0,0,4.26041,No
2,3034,A-1,6733-06-6164,,2,C,183800,16000,1318,1735.6,0,25-2A,6733-06-7221,A-10,,2,C,167000,11000,1128,1128,0,2.26631,No
3,3097,A-1,6733-63-0966,,5,,286100,0,0,0,31850,25-49,6733-64-3116,A-10,,5,,231400,0,0,0,31850,48.1892,No
3,3106,A-1,6733-84-2274,,2,,67500,0,0,0,0,25-50,6733-73-5568,A-10,,2,,60000,0,0,0,6750,117.659,No
2,3134,A-1,6732-79-6745,,2,B,341600,8000,988,2702,0,25-58D,6732-79-6745,A-10,,2,B,391300,11000,988,2702,0,11.9153,No
5,3161,A-1,6732-96-5330,,5,,161200,0,0,0,0,25-72A,6732-96-7671,A-10,,2,B,387700,11000,2189,3059.2,0,22.9838,Yes
2,3170,A-1,6732-72-9736,,72,,275700,0,0,0,0,25-72J,6732-84-8436,A-10,,2,C,186700,11000,988,1482,0,99.8927,Yes
2,3173,A-1,6732-82-8898,,5,B,655700,8000,2472,4497.6,62300,25-74B,6732-82-8898,A-10,,5,A,699400,11000,2472,4497.6,65350,52.7137,No
2,3213,A-1,6743-23-0022,,6,,491500,0,0,0,55100,26-1-1,6743-23-0022,A-10,,6,,483500,0,0,0,54200,102.728,No
2,3247,A-1,6752-25-3215,,6,,852000,0,0,0,95850,26-107,6752-25-3215,A-10,A-10,6,,1016600,0,0,0,97125,222.042,No
2,3252,A-1,6742-49-5363,,2,C,156400,8000,1040,1308,0,26-11A,6742-49-7370,A-10,,2,C,192300,11000,1040,1308,0,5.84303,No
2,3256,A-1,6742-95-4788,,2,C,200400,0,1456,1456,0,26-112,6742-95-2532,A-10,A-10,2,C,181200,11000,1456,1456,0,11.5514,No
2,3270,A-1,6742-49-5161,,2,C,161400,8000,1092,1092,0,26-12,6742-49-8110,A-10,,2,C,158800,11000,1092,1092,0,4.92878,No
2,3289,A-1,6742-47-5665,,2,,76500,0,0,0,0,26-20,6742-47-3649,A-10,,2,,54000,0,0,0,0,7.6946,No
2,3373,C,6742-45-5802,C,4,A,1717500,0,0,3256,0,26-8-1,6742-46-7065,C,C,4,A,2680900,0,0,6676,0,16.136,No
2,3443,A-1,6742-68-2367,,5,C,462600,8000,1706,1706,82650,26-77C,6742-58-3611,A-10,,2,C,232900,11000,1706,1706,0,48.1674,Yes
2,3468,A-1,6743-42-9421,,2,C,145000,8000,984,984,0,26-84,6743-42-9447,A-10,,2,C,163700,11000,984,984,0,2.22016,No
4,3489,A-1,6743-25-7153,,2,,58100,0,0,0,0,26-90F,6743-25-6002,A-10,,2,,63100,0,0,0,0,12.5902,No
3,3506,A-1,6743-43-9736,,2,C,408900,16000,1264,2264,105125,26-85,6743-43-7478,A-10,,2,B,412300,11000,2318,2318,0,23.4783,No
2,3641,R-C,6742-85-9013,RC,2,D,53000,0,896,896,0,26B1-1-15,6742-84-9905,A-10,A-10,2,D,63100,11000,912,912,0,1.08596,No
3,3658,R-C,6742-74-5687,RC,2,C,282700,0,1668,2470,0,26B1-1-9,6742-74-7507,A-10,A-10,2,C,84500,11000,992,1984,0,4.90033,No
2,3683,A-1,6742-93-6080,,76,B,2886000,0,0,8336,0,26B2-1-21,6742-93-6080,A-10,,76,B,2573600,0,0,8336,0,12.2581,No
3,3685,A-1,6742-93-2837,RC/A,78,B,346000,0,0,3828,0,26B2-1-24,6742-93-2837,VC,RC/A,78,B,1252700,0,0,3828,0,6.91345,No
2,3726,A-1,6742-92-9415,,2,C,269200,6000,1420,2392.4,0,26B2-2-2,6742-92-8571,A-10,,2,C,305300,9000,1420,2392.4,0,4.04387,No
5,3753,CHSC-1,6752-11-1620,C,2,C,113400,0,0,1665,0,26B2-3-1A,6752-11-2609,CHSC,C,4,C,220400,9000,1665,1725,0,0.717462,Yes
2,3757,CHSC-1,6752-11-5299,CHSC,74,A,3632600,0,0,14674,0,26B2-3-21,6752-11-5299,CHSC,CHSC,74,A,3496100,0,0,14674,0,2.57783,No
2,3779,C,6752-10-6498,C,4,B,238500,0,0,3276,0,26B3-1-15,6752-10-7630,VC-PD,,2,D,53100,0,780,780,0,1.18421,Yes
3,3780,A-1,6752-30-4345,RC/A,6,,1194600,0,0,0,98000,26B3-1-16,6752-30-7507,A-10,A-10,6,,760300,0,0,0,79800,214.213,No
3,3782,A-1,6752-10-9509,,2,C,62600,6000,960,960,0,26B4-1-10,6752-10-9610,VC-PD,,2,,85000,0,0,0,0,0.516978,No
13,3785,C,6752-20-1505,C,2,A,477700,6000,2200,3168,0,26B4-1-13,6752-10-9446,VC-PD,,2,B,496800,11500,1332,2797,0,7.45331,No
2,3787,C,6752-20-2228,C,2,,70500,0,0,0,0,26B3-1-16F,6752-20-3586,VC-PD,C,2,A,482100,9000,1760,3168,0,2.83857,No
5,3799,A-1,6751-38-9839,,5,,331700,0,0,0,0,26B3-1-25A,6751-38-6937,A-10,,2,,94200,0,0,0,0,42.2368,Yes
2,3826,A-1,6742-44-8856,,2,,35000,0,0,0,0,26C-1-7C1,6742-44-9810,A-10,,2,,40000,0,0,0,0,1.42439,No
2,3827,A-1,6742-44-7603,,72,,45500,8000,0,0,0,26C-1-7C3,6742-44-6529,A-10,,2,,40000,0,0,0,0,1.26736,Yes
8,3843,R-C,6752-43-4854,RC,5,D,815000,0,0,1328.5,0,27C-3-2,6752-33-9462,RR-5,RR-5,2,D,88100,11000,0,1328.5,0,20.6869,Yes
4,3844,R-C,6752-42-6930,RC,2,,692800,0,0,0,0,27C-3-1,6752-33-9177,RR-5,RR-5,2,,81500,0,0,0,0,12.8667,No
7,3850,R-C,6752-43-9604,RC,2,,361000,0,0,0,0,27C-4-10,6752-43-7402,RR-5,RR-5,2,B,603500,11000,1799,4084,0,16.1126,No
2,3851,A-1,6752-52-6798,RC,5,C,423800,0,1852,1852,0,27-13,6752-52-0799,A-10,A-10,79,,9100,0,0,0,0,23.0118,Yes
